our_color,our_rating,opp_rating,rating_diff,time_class,eco,opening_family,move_count,outcome
black,220,201,19,rapid,C40,Kings,54,1.0
white,228,208,20,rapid,A45,Indian,50,1.0
white,228,231,-3,rapid,A40,Queens,178,0.0
black,220,223,-3,rapid,C40,Kings,158,0.0
black,214,311,-97,rapid,C26,Vienna,66,0.0
black,222,197,25,rapid,C20,Kings,22,1.0
black,214,248,-34,rapid,C23,Bishops,20,0.0
black,206,244,-38,rapid,C21,Center,202,0.0
black,196,204,-8,rapid,C40,Kings,144,0.0
white,205,152,53,rapid,B00,Nimzowitsch,19,1.0
black,195,199,-4,rapid,C20,Kings,98,0.0
white,203,140,63,rapid,C00,French,34,1.0
white,201,129,72,rapid,C20,Kings,251,0.5
black,210,191,19,rapid,A20,English,34,1.0
white,219,196,23,rapid,B01,Scandinavian,116,1.0
white,209,202,7,rapid,C21,Center,29,0.0
black,217,189,28,rapid,B01,Scandinavian,13,1.0
black,207,159,48,rapid,C20,Bishops,19,0.0
black,215,172,43,rapid,A00,Van,123,1.0
black,214,161,53,rapid,B01,Scandinavian,135,0.5
white,214,198,16,rapid,C20,Kings,328,0.5
black,208,312,-104,rapid,B00,Kings,8,0.0
black,215,164,51,rapid,A40,Englund,177,1.0
white,221,119,102,rapid,C42,Petrovs,23,1.0
white,457,634,-177,bullet,C20,Kings,85,0.0
white,229,208,21,rapid,C20,Kings,39,1.0
black,800,725,75,daily,C20,Kings,11,0.0
white,236,179,57,rapid,B00,Kings,92,1.0
white,230,310,-80,rapid,B01,Scandinavian,145,0.0
black,335,400,-65,bullet,B01,Scandinavian,50,0.0
white,100,328,-228,blitz,B00,Nimzowitsch,210,0.0
black,236,138,98,rapid,A00,Kings,18,1.0
black,242,133,109,rapid,C47,Four,95,1.0
black,249,188,61,rapid,C40,Kings,138,1.0
white,257,224,33,rapid,C00,French,164,1.0
white,248,212,36,rapid,B02,Alekhines,268,0.0
black,100,170,-70,blitz,C40,Kings,27,0.0
black,100,180,-80,blitz,A00,Undefined,140,0.0
white,187,160,27,blitz,C20,Kings,153,1.0
white,137,260,-123,blitz,C33,Kings,98,0.0
black,227,236,-9,bullet,D06,Queens,111,0.0
white,100,168,-68,blitz,C20,Kings,60,0.0
white,256,243,13,rapid,C45,Scotch,123,1.0
black,100,179,-79,blitz,A00,Undefined,77,0.0
black,148,155,-7,blitz,D00,Queens,129,1.0
black,186,147,39,blitz,C47,Four,150,1.0
white,248,271,-23,rapid,C20,Kings,97,0.0
white,240,244,-4,rapid,B01,Scandinavian,72,0.0
white,233,287,-54,rapid,C24,Bishops,33,0.0
white,239,152,87,rapid,B07,Pirc,151,1.0
white,247,230,17,rapid,C20,Kings,57,1.0
black,306,260,46,bullet,C20,Kings,107,1.0
black,245,175,70,rapid,C20,Kings,263,0.5
white,241,278,-37,bullet,B01,Scandinavian,101,0.0
black,300,295,5,bullet,A00,Van,85,1.0
black,341,234,107,bullet,A00,Van,59,1.0
black,377,293,84,bullet,C23,Bishops,107,1.0
white,413,369,44,bullet,C23,Bishops,101,1.0
white,378,403,-25,bullet,B07,Pirc,114,0.0
white,252,215,37,rapid,C20,Kings,161,1.0
white,217,151,66,blitz,C23,Bishops,126,1.0
white,348,389,-41,bullet,C20,Kings,117,0.0
black,372,265,107,bullet,A04,Reti,55,1.0
black,350,432,-82,bullet,C20,Kings,107,0.0
black,325,352,-27,bullet,C28,Vienna,39,0.0
white,303,340,-37,bullet,A00,Van,63,0.0
black,198,368,-170,blitz,D02,Queens,67,0.0
white,252,250,2,rapid,C00,French,26,0.5
black,281,299,-18,bullet,C25,Vienna,57,0.0
black,304,315,-11,bullet,C40,Kings,113,1.0
white,285,310,-25,bullet,C20,Kings,129,0.0
white,242,187,55,rapid,C20,Kings,155,0.0
white,303,265,38,bullet,B01,Scandinavian,130,1.0
white,250,231,19,rapid,C23,Bishops,142,1.0
black,227,184,43,blitz,A30,English,138,1.0
black,196,176,20,blitz,C23,Bishops,21,0.0
black,259,300,-41,rapid,C20,Kings,244,1.0
white,260,323,-63,rapid,B01,Scandinavian,159,0.5
white,267,218,49,rapid,C20,Kings,77,1.0
black,275,236,39,rapid,C40,Kings,275,1.0
white,274,227,47,rapid,B10,Caro,247,0.5
white,266,283,-17,rapid,A00,Undefined,6,0.0
white,273,193,80,rapid,B01,Scandinavian,181,1.0
black,267,401,-134,rapid,A00,Undefined,6,0.0
white,275,252,23,rapid,B00,Kings,119,1.0
black,268,366,-98,rapid,C23,Bishops,20,0.0
black,275,221,54,rapid,C20,Kings,105,1.0
black,284,301,-17,rapid,C23,Bishops,35,1.0
black,276,311,-35,rapid,C20,Kings,156,0.0
white,284,235,49,rapid,B02,Alekhines,53,1.0
white,294,294,0,rapid,B02,Alekhines,38,1.0
white,285,297,-12,rapid,C20,Kings,102,0.0
black,278,388,-110,rapid,B00,Kings,8,0.0
black,222,200,22,blitz,D02,Queens,125,1.0
white,244,187,57,blitz,B01,Scandinavian,72,1.0
white,261,157,104,blitz,A04,Reti,24,1.0
white,242,311,-69,blitz,C20,Kings,103,0.0
black,222,244,-22,blitz,C20,Kings,28,0.0
white,240,190,50,blitz,B02,Alekhines,26,1.0
black,255,161,94,blitz,A06,Reti,105,1.0
black,232,176,56,blitz,C20,Kings,190,0.0
black,232,222,10,blitz,C42,Petrovs,137,0.5
black,250,232,18,blitz,B10,Caro,189,1.0
black,233,258,-25,blitz,A00,Van,25,0.0
black,249,225,24,blitz,C25,Vienna,126,1.0
white,262,173,89,blitz,B02,Alekhines,72,1.0
white,246,258,-12,blitz,B01,Scandinavian,124,0.0
black,234,321,-87,blitz,A40,Queens,7,0.0
black,220,257,-37,blitz,A43,Old,213,0.0
black,209,302,-93,blitz,A21,English,110,0.0
white,195,226,-31,blitz,C50,Italian,160,0.0
black,182,239,-57,blitz,C40,Kings,146,0.0
black,201,213,-12,blitz,C20,Kings,121,1.0
white,292,284,8,rapid,C40,Kings,162,1.0
white,304,240,64,rapid,C40,Kings,102,1.0
white,316,278,38,rapid,C50,Italian,39,1.0
black,218,212,6,blitz,C20,Kings,207,1.0
black,329,308,21,rapid,C20,Kings,118,1.0
white,317,332,-15,rapid,B07,Pirc,116,0.0
black,317,328,-11,rapid,B00,Kings,7,0.5
black,326,211,115,rapid,D00,Queens,114,1.0
white,315,350,-35,rapid,A00,Undefined,6,0.0
black,326,303,23,rapid,D30,Queens,56,1.0
black,336,296,40,rapid,B07,Pirc,39,1.0
white,347,349,-2,rapid,C23,Bishops,58,1.0
white,337,347,-10,rapid,C23,Bishops,110,0.0
white,218,221,-3,blitz,C42,Petrovs,280,0.5
black,347,344,3,rapid,A40,Queens,95,1.0
black,347,342,5,rapid,B02,Alekhines,198,0.5
black,338,382,-44,rapid,B00,Kings,8,0.0
white,329,359,-30,rapid,C41,Philidor,152,0.0
white,330,358,-28,rapid,C20,Kings,231,0.5
black,339,320,19,rapid,B02,Alekhines,21,1.0
white,348,337,11,rapid,C45,Scotch,168,1.0
black,356,336,20,rapid,B02,Alekhines,175,1.0
black,356,358,-2,rapid,C24,Bishops,106,1.0
white,356,358,-2,rapid,C20,Kings,191,0.0
black,348,373,-25,rapid,B00,Nimzowitsch,182,0.0
white,348,373,-25,rapid,C42,Petrovs,153,1.0
black,340,344,-4,rapid,A07,Kings,149,0.0
white,348,335,13,rapid,C20,Kings,170,1.0
black,340,368,-28,rapid,A00,Van,186,0.0
black,333,396,-63,rapid,A04,Reti,261,0.0
white,342,381,-39,rapid,C44,Kings,95,1.0
black,335,392,-57,rapid,A00,Van,233,0.0
black,343,325,18,rapid,A06,Reti,94,1.0
black,205,270,-65,blitz,B02,Alekhines,102,0.0
black,351,331,20,rapid,D02,Queens,84,1.0
black,359,360,-1,rapid,C42,Petrovs,60,1.0
white,368,203,165,rapid,B00,Kings,132,1.0
white,360,393,-33,rapid,C42,Petrovs,106,0.0
black,369,380,-11,rapid,B02,Alekhines,195,1.0
white,377,368,9,rapid,C20,Kings,35,1.0
white,385,350,35,rapid,B00,Owens,118,1.0
white,393,298,95,rapid,B01,Scandinavian,54,1.0
black,393,373,20,rapid,B02,Alekhines,302,0.5
black,401,351,50,rapid,B02,Alekhines,18,1.0
white,409,225,184,rapid,A04,Reti,32,1.0
white,417,375,42,rapid,C44,Kings,17,1.0
black,425,426,-1,rapid,B02,Alekhines,145,1.0
white,425,426,-1,rapid,B10,Caro,193,0.5
black,417,435,-18,rapid,A00,Van,89,0.0
white,426,347,79,rapid,C41,Philidor,168,1.0
white,436,490,-54,rapid,C00,French,82,1.0
white,444,416,28,rapid,C20,Kings,74,1.0
white,438,523,-85,rapid,B01,Scandinavian,405,0.0
black,447,451,-4,rapid,A00,Van,170,1.0
white,456,463,-7,rapid,B12,Caro,117,1.0
black,464,433,31,rapid,B02,Alekhines,14,1.0
white,456,507,-51,rapid,C20,Kings,81,0.0
white,225,279,-54,blitz,C20,Kings,123,1.0
white,448,457,-9,rapid,C20,Kings,206,0.0
black,456,397,59,rapid,A00,Van,22,1.0
white,464,434,30,rapid,C40,Kings,159,1.0
black,472,436,36,rapid,B02,Alekhines,101,1.0
black,479,427,52,rapid,B02,Alekhines,120,1.0
white,479,427,52,rapid,B15,Caro,243,0.0
white,472,522,-50,rapid,B00,Owens,263,0.0
black,463,436,27,rapid,B00,Nimzowitsch,84,0.0
white,454,445,9,rapid,C50,Italian,89,0.0
black,454,445,9,rapid,B01,Scandinavian,109,0.0
white,462,467,-5,rapid,C45,Scotch,87,1.0
white,454,482,-28,rapid,C41,Philidor,128,0.0
black,461,425,36,rapid,C44,Kings,76,1.0
